CO_IES	NO_IES	SGL_IES	CO_MANTENEDORA	NO_MANTENEDORA	CO_CATEGORIA_ADMINISTRATIVA	CO_ORGANIZACAO_ACADEMICA	CO_MUNICIPIO_IES	NO_MUNICIPIO_IES	SGL_UF_IES	NO_REGIAO_IES	QT_TEC_TOTAL	QT_PERIODICO_ELETRONICO	QT_LIVRO_ELETRONICO	VL_RECEITA_PROPRIA	VL_TRANSFERENCIA	VL_OUTRA_RECEITA	VL_DES_PESSOAL_REM_DOCENTE	VL_DES_PESSOAL_REM_TECNICO	VL_DES_PESSOAL_ENCARGO	VL_DES_CUSTEIO	VL_DES_INVESTIMENTO	VL_DES_PESQUISA	VL_DES_OUTRAS
1703	INSTITUTO DE ENSINO SUPERIOR DE RIO VERDE	IESRIVER	1123	ASSOCIACAO DE ENSINO SUPERIOR DE GOIAS-AESGO	5	3	5218805	Rio Verde	GO	Centro-Oeste	49	157	0	8095002.69	0.00	1262973.56	4303671.87	3387270.19	1670451.77	574680.02	582708.31	76522.07	1305120.66
4163	CENTRO UNIVERSITÁRIO BARRIGA VERDE	UNIBAVE	1124	FUNDACAO EDUCACIONAL BARRIGA VERDE	5	2	4211702	Orleans	SC	Sul	233	0	1	28308758.68	0.00	3652956.31	9570626.49	3798593.06	4497813.18	3647512.30	1235376.48	561307.96	9794375.60
2566	INSTITUTO DE ENSINO SUPERIOR DE OLINDA	IESO	1125	ASSOCIACAO PERNAMBUCANA DE ENSINO SUPERIOR - APESU	5	3	2609600	Olinda	PE	Nordeste	20	250	9874	6274577.56	0.00	134378.93	2157371.34	1614601.27	1160637.90	9588406.32	231611.57	0.00	76710.33
1992	INSTITUTO DE ENSINO SUPERIOR DE PIEDADE	IESP	1125	ASSOCIACAO PERNAMBUCANA DE ENSINO SUPERIOR - APESU	5	3	2607901	Jaboatão dos Guararapes	PE	Nordeste	6	354	9452	6274577.56	0.00	134378.93	2157371.34	1614601.27	1160637.90	9588406.32	231611.57	0.00	76710.33
1708	INSTITUTO PERNAMBUCANO DE ENSINO SUPERIOR	IPESU	1125	ASSOCIACAO PERNAMBUCANA DE ENSINO SUPERIOR - APESU	5	3	2611606	Recife	PE	Nordeste	42	250	9874	6274577.56	0.00	134378.93	2157371.34	1614601.27	1160637.90	9588406.32	231611.57	0.00	76710.33
1707	FACULDADE DE CIÊNCIAS CONTÁBEIS DE RECIFE	FACCOR	1125	ASSOCIACAO PERNAMBUCANA DE ENSINO SUPERIOR - APESU	5	3	2609600	Olinda	PE	Nordeste	20	250	9874	6274577.56	0.00	134378.93	2157371.34	1614601.27	1160637.90	9588406.32	231611.57	0.00	76710.33
1706	FACULDADE DE INFORMÁTICA DO RECIFE	FACIR	1125	ASSOCIACAO PERNAMBUCANA DE ENSINO SUPERIOR - APESU	5	3	2609600	Olinda	PE	Nordeste	20	250	9874	6274577.56	0.00	134378.93	2157371.34	1614601.27	1160637.90	9588406.32	231611.57	0.00	76710.33
1709	FACULDADE INTEGRADA DE PERNAMBUCO	FACIPE	1126	SOCIEDADE PERNAMBUCANA DE ENSINO SUPERIOR LTDA	4	3	2611606	Recife	PE	Nordeste	152	13294	15499	32740631.90	0.00	293285.49	8250955.23	2799431.24	3683462.16	33562338.75	6467448.96	0.00	0.00
1712	FACULDADE DE CIÊNCIAS E TECNOLOGIA DE TERESINA	FACET	1129	ASSOCIACAO PIAUIENSE DE ENSINO SUPERIOR LTDA - ME	4	3	2211001	Teresina	PI	Nordeste	6	25	50	712236.00	0.00	0.00	285986.00	133255.00	84680.00	53580.00	0.00	0.00	0.00
1713	FACULDADE DE TECNOLOGIA DE SÃO VICENTE	FATEF	1130	FORTEC ASSESSORIA E TREINAMENTO LTDA	4	3	3551009	São Vicente	SP	Sudeste	28	0	0	983332.27	0.00	226333.14	347297.56	105102.18	197890.74	30318.80	225890.56	23361.32	50987.66
1790	FACULDADE DO SUL DA BAHIA	FASB	1132	FUNDACAO FRANCISCO DE ASSIS	5	3	2931350	Teixeira de Freitas	BA	Nordeste	83	111	0	14141143.96	0.00	178861.26	3703837.47	1407880.99	2115534.74	2235034.13	4364.79	34500.00	3348411.73
3180	INSTITUTO SUPERIOR DE EDUCAÇÃO UNIÃO DAS AMÉRICAS	UNIAMÉRICA	1133	CENTRO EDUCACIONAL DAS AMERICAS LTDA.	4	3	4108304	Foz do Iguaçu	PR	Sul	71	0	5158	12244270.68	0.00	589978.62	2802402.30	1371758.86	3006181.12	1545829.97	11435073.84	0.00	938485.10
1717	FACULDADE DE IMPERATRIZ	FACIMP	1134	A. REGIAO TOCANTINA DE EDUCACAO E CULTURA LTDA.	4	3	2105302	Imperatriz	MA	Nordeste	113	140	0	20703941.47	0.00	353398.90	4125538.19	4462544.95	4983334.51	4417472.50	0.00	0.00	1079620.88
1718	FACULDADE NOBRE DE FEIRA DE SANTANA	FAN	1135	GRUPO NOBRE DE ENSINO LTDA	4	3	2910800	Feira de Santana	BA	Nordeste	96	18216	4811	17569784.76	0.00	670793.75	4607074.75	1805735.75	2021437.56	1617532.50	2180729.41	323446.25	2394955.28
1720	FACULDADE MINAS GERAIS	FAMIG	1136	CESMIG - CENTRO DE ENSINO SUPERIOR MINAS GERAIS LTDA - ME	4	3	3106200	Belo Horizonte	MG	Sudeste	29	9	2	6794698.01	0.00	529255.32	2717325.91	493361.74	1325510.72	0.00	100026.49	0.00	2480647.64
1721	FACULDADE DE VIÇOSA	FDV	1137	ASSOCIACAO VICOSENSE DE ENSINO E PESQUISA LTDA - AVEP - VICOSA - EPP	4	3	3171303	Viçosa	MG	Sudeste	12	0	0	2559535.65	0.00	98899.93	1235908.07	727271.08	0.00	369042.79	0.00	0.00	0.00
1722	FACULDADE DE PORTO VELHO	FIP	1138	EINSTEIN INSTITUICAO DE ENSINO LTDA - EPP	4	3	1100205	Porto Velho	RO	Norte	97	16	0	2372351.61	0.00	1464831.95	803561.84	547920.89	456194.32	621816.96	32541.52	0.00	51355.47
1723	ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GESTÃO STRONG		1139	CENTRO DE ENSINO SUPERIOR STRONG	5	3	3547809	Santo André	SP	Sudeste	16	360	11494	9465345.30	1390817.09	140144.67	2381986.00	2183295.56	1827454.09	2531476.81	0.00	0.00	1826033.01
4943	ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GESTÃO STRONG DA BAIXADA SANTISTA		1139	CENTRO DE ENSINO SUPERIOR STRONG	5	3	3548500	Santos	SP	Sudeste	11	360	11494	9465345.30	1390817.09	140144.67	2381986.00	2183295.56	1827454.09	2531476.81	0.00	0.00	1826033.01
1725	FACULDADE XV DE AGOSTO	FAQ	1141	FACULDADES XV DE AGOSTO LTDA - EPP	4	3	3552106	Socorro	SP	Sudeste	7	150	400	647236.00	0.00	0.00	52784.00	12260.00	21266.00	313363.00	0.00	0.00	47253.00
1726	FACULDADE SANTA AMÉLIA	SECAL	1142	SOCIEDADE EDUCATIVA E CULTURAL AMELIA S/C LTDA - EPP	4	3	4119905	Ponta Grossa	PR	Sul	56	140	0	7222498.67	0.00	0.00	1912917.37	1074577.14	919815.59	1471570.22	97991.48	57278.10	169868.61
1727	FACULDADE DE CARIACICA	FAC DE CARIACICA	1143	UNIEST - EDUCACIONAL CENTRO-LESTE S/C LTDA - ME	4	3	3201308	Cariacica	ES	Sudeste	11	2	12	1812000.00	0.00	900000.00	773200.00	216800.05	703325.00	465300.00	350000.00	12000.00	43000.00
1728	FACULDADE INTERAMERICANA DE PORTO VELHO	UNIRON	1144	UNIRON - UNIAO DAS ESCOLAS SUPERIORES DE RONDONIA LTDA.	4	3	1100205	Porto Velho	RO	Norte	140	214	27	46796040.36	0.00	0.00	16696214.30	878748.12	5518868.00	1199567.37	1174027.26	0.00	10659598.00
1515	FACULDADE DE EDUCAÇÃO DE PORTO VELHO	UNIRON	1144	UNIRON - UNIAO DAS ESCOLAS SUPERIORES DE RONDONIA LTDA.	4	3	1100205	Porto Velho	RO	Norte	140	214	27	46796040.36	0.00	0.00	16696214.30	878748.12	5518868.00	1199567.37	1174027.26	0.00	10659598.00
1732	FACULDADE GENNARI E PEARTREE	FGP	1146	G&P PROJETOS E SISTEMAS S.A.	4	3	3536703	Pederneiras	SP	Sudeste	10	0	0	866359.90	0.00	6625.00	426786.95	207864.64	477631.68	0.00	0.00	30000.00	331704.12
1733	FACULDADE DE ENSINO SUPERIOR DE MARECHAL CÂNDIDO RONDON	ISEPE  RONDON	1147	UNIAO RONDONENSE DE ENSINO E CULTURA LTDA	4	3	4114609	Marechal Cândido Rondon	PR	Sul	8	300	0	2055802.52	0.00	0.00	724613.99	142607.12	381324.97	188247.00	129801.65	181872.37	48789.00
1734	FACULDADE INTEGRAL DIFERENCIAL	FACID	1148	INTEGRAL - GRUPO DE ENSINO SUPERIOR DO PIAUI S/C LTDA	4	3	2211001	Teresina	PI	Nordeste	192	30000	60	62505907.75	0.00	1082927.97	14512352.67	3796289.52	11546812.32	14485596.48	368053.55	0.00	713654.78
1735	CENTRO UNIVERSITÁRIO DOUTOR LEÃO SAMPAIO	FLS	1149	INSTITUTO LEAO SAMPAIO DE ENSINO UNIVERSITARIO LTDA	4	2	2307304	Juazeiro do Norte	CE	Nordeste	273	109	8020	90124413.59	0.00	27452390.00	18892538.76	3660886.48	10259438.25	16763821.01	6801062.86	26473.62	1000527.82
1736	CENTRO UNIVERSITÁRIO LA SALLE DO RIO DE JANEIRO	UNILASALLE/RJ	1150	ASSOCIACAO BRASILEIRA DE EDUCADORES LASSALISTAS	5	2	3303302	Niterói	RJ	Sudeste	149	10165	5120	20565865.81	0.00	680460.63	5467889.20	6165917.60	4981765.80	9960062.10	1341815.39	0.00	0.00
1739	IMP de Ensino Superior - IMP	IMP	1151	CESCO - CENTRO DE ENSINO SUPERIOR DO CENTRO OESTE LTDA	5	3	5300108	Brasília	DF	Centro-Oeste	8	153	0	56125.00	0.00	0.00	17100.00	6904.00	8194.00	15096.00	0.00	0.00	5200.00
1742	FACULDADE DE TECNOLOGIA CARLOS DRUMMOND DE ANDRADE	CSET DRUMMOND	1152	SOCIEDADE EDUCACIONAL SOIBRA S/S LTDA	4	3	3550308	São Paulo	SP	Sudeste	51	1048	1131	7319718.96	0.00	3296.95	2319710.25	1546473.50	1717637.67	208029.51	438377.00	219188.50	452298.72
1743	FACULDADE DE TECNOLOGIA OSWALDO CRUZ	FATEC OSWALDO CRUZ	1153	PROTECNICA PAULISTA LTDA	4	3	3550308	São Paulo	SP	Sudeste	6	286	485	1632260.00	0.00	136466.00	687963.00	216897.00	662129.00	184615.00	0.00	0.00	0.00
1749	FACULDADE LUSO-BRASILEIRA	FALUB	1154	ORGANIZACAO PERNAMBUCANA DE EDUCACAO CIENCIA E CULTURA	5	3	2604007	Carpina	PE	Nordeste	11	2	40	760560.00	0.00	0.00	351310.00	119042.00	154708.00	0.00	99500.00	36000.00	0.00
1752	FACULDADE AUTÔNOMA DE DIREITO	FADISP	1157	CENSFA CENTRO DE ENSINO NOSSA SENHORA DE FATIMA LTDA	4	3	3550308	São Paulo	SP	Sudeste	24	2000	0	6419176.72	0.00	534958.25	2218512.64	1466108.43	1966924.80	155771.16	23740.00	313350.00	3871980.90
1753	FACULDADE DE ENFERMAGEM NOVA ESPERANÇA	FACENE	1158	ESCOLA DE ENFERMAGEM NOVA ESPERANCA LTDA	4	3	2507507	João Pessoa	PB	Nordeste	138	2400	150	5987634.14	0.00	0.00	1765742.02	758446.28	885746.25	1546832.05	415876.25	35186.24	96528.41
4431	FACULDADE DE ENFERMAGEM NOVA ESPERANÇA DE MOSSORÓ - FACENE/RN	FACENE/RN	1158	ESCOLA DE ENFERMAGEM NOVA ESPERANCA LTDA	4	3	2408003	Mossoró	RN	Nordeste	69	1400	0	3716284.55	0.00	0.00	789754.25	596876.25	645892.65	1025468.72	389652.47	35648.02	26559.71
1995	FACULDADE DE MEDICINA NOVA ESPERANÇA	FAMENE	1158	ESCOLA DE ENFERMAGEM NOVA ESPERANCA LTDA	4	3	2507507	João Pessoa	PB	Nordeste	135	2407	159	86571325.41	0.00	0.00	6233738.31	10110922.03	5949456.36	35516887.87	14337988.06	320857.08	4217422.97
1756	FACULDADE ASSOCIADA BRASIL	FAB	1161	SOCIEDADE BRASILEIRA DE ENSINO SUPERIOR	5	3	3550308	São Paulo	SP	Sudeste	37	52	21	10272421.66	0.00	11765.64	808646.34	509440.60	475929.10	3676668.09	0.00	0.00	226436.78
1758	FACULDADE INDEPENDENTE DO NORDESTE	FAINOR	1163	SOCIEDADE EDUCACIONAL DA BAHIA S/C LIMITADA	4	3	2933307	Vitória da Conquista	BA	Nordeste	254	51	7855	31322672.33	0.00	1430788.45	17595559.20	4773522.66	7269635.67	4011126.66	1020769.55	0.00	1023884.81
1759	FACULDADE PADRE JOÃO BAGOZZI	FACULDADE BAGOZZI	1164	CONGREGACAO DOS OBLATOS DE SAO JOSE	5	3	4106902	Curitiba	PR	Sul	93	6	4605	11116808.00	3624000.00	0.00	2979372.97	2017898.03	2018563.00	0.00	85797.93	392088.40	7345621.00
1762	FACULDADE DE TECNOLOGIA E NEGÓCIOS CARLOS DRUMMOND DE ANDRADE	FTNCDA	1166	ESCOLA JOAO XXIII S/S LTDA - EPP	4	3	3550308	São Paulo	SP	Sudeste	20	564	227	3240579.46	0.00	11965.58	626574.71	417716.47	289026.56	66455.51	193087.09	160905.91	617851.10
1765	FACULDADE DE JOSÉ BONIFÁCIO	FJB	1170	UNIAO DE INSTITUICOES BONIFACIANAS DE ENSINO	5	3	3525706	José Bonifácio	SP	Sudeste	9	842	8659	1605815.19	0.00	12823.14	347601.05	231734.03	180061.39	53816.74	0.00	0.00	128957.27
1766	FACULDADE ESPÍRITO SANTENSE	UNICAPE	1171	UNIAO CAPIXABA DE ENSINO	5	3	3201308	Cariacica	ES	Sudeste	16	10	7581	3676029.00	0.00	1654682.00	917724.00	357390.00	749693.00	1534888.00	35059.00	45000.00	153600.00
17289	Faculdade de Teologia de Caratinga Uriel de Almeida Leitão	FACTUAL	1172	INSTITUTO DOCTUM DE EDUCACAO E TECNOLOGIA LTDA	4	3	3113404	Caratinga	MG	Sudeste	277	0	0	336750.00	0.00	0.00	86420.30	10560.00	15840.11	22240.97	0.00	0.00	80643.15
1771	FACULDADE SANTA MARIA	FSM	1173	INSTITUTO SANTA MARIA DE EDUCACAO, CULTURA, CIENCIA E TECNOLOGIA	5	3	2611606	Recife	PE	Nordeste	5	15	15	97800.00	0.00	17500.00	198720.00	84600.00	226656.00	36000.00	42000.00	0.00	15000.00
1772	FACULDADE NORDESTE	FANOR	1174	DEVRY EDUCACIONAL DO BRASIL S/A	4	3	2304400	Fortaleza	CE	Nordeste	216	5705	0	104501354.49	0.00	141796983.17	15212125.50	16312993.41	21495482.28	43673106.19	13283118.60	0.00	24861824.10
16894	FACULDADE DEVRY DE SÃO LUÍS		1174	DEVRY EDUCACIONAL DO BRASIL S/A	4	3	2111300	São Luís	MA	Nordeste	24	3350	0	2876554.01	0.00	8400.27	514812.15	772138.89	784988.11	3664309.78	0.00	0.00	125289.85
1773	FACULDADE DE ITAPIRANGA	SEI/FAI	1175	SEI - SOCIEDADE EDUCACIONAL DE ITAPIRANGA LTDA	4	3	4208401	Itapiranga	SC	Sul	47	245	4000	24453633.00	0.00	1645989.00	6845659.00	1988950.00	3187014.00	6979355.00	1806755.00	676055.00	3091377.00
1774	FACULDADE EDUCACIONAL DE PONTA GROSSA	UNIÃO	1176	UNIAO DE ENSINO UNOPAR LTDA	4	3	4119905	Ponta Grossa	PR	Sul	30	24951	7250	27027596.85	0.00	1201047.76	2920578.06	771866.84	2520984.73	5681692.25	2037577.00	0.00	3999006.14
1777	FACULDADE METROPOLITANA DE GUARAMIRIM	FAMEG	1177	SOCIEDADE EDUCACIONAL DO VALE DO ITAPOCU S/S LTDA.	4	3	4206504	Guaramirim	SC	Sul	56	18329	12397	20170189.49	0.00	1006608.55	4389634.75	1195726.81	2635335.12	1894520.70	255335.71	0.00	1208314.57
1775	CENTRO UNIVERSITÁRIO DO VALE DO IPOJUCA	UNIFAVIP	1179	SOCIEDADE DE EDUCACAO DO VALE DO IPOJUCA S/A	4	2	2604106	Caruaru	PE	Nordeste	181	800	0	88396782.91	0.00	1773065.96	17105892.62	5498869.47	14936588.98	18815247.36	2214387.43	0.00	2851466.76
1779	FACULDADE AIEC	AIEC / FAAB	1180	ASSOCIACAO INTERNACIONAL DE EDUCACAO CONTINUADA - AIEC	4	3	5300108	Brasília	DF	Centro-Oeste	35	0	5209	5336769.18	0.00	63517.80	1066963.53	1641482.36	1231111.77	0.00	0.00	0.00	4267854.12
1781	FACULDADE INTESP	INTESP	1181	INSTITUTO TECNOLOGICO DO SUDOESTE PAULISTA SYLVESTRE FERRAZ EGREJA	5	3	3520905	Ipaussu	SP	Sudeste	3	7	0	841496.04	0.00	0.00	57276.26	38184.16	34883.33	50775.75	0.00	0.00	570493.16
1783	FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS	FACISA - CELER	1183	CELER FACULDADES LTDA	4	3	4219705	Xaxim	SC	Sul	46	12	63	5211632.00	865236.00	0.00	2789563.00	395874.00	653212.00	2102563.00	0.00	56230.00	425187.00
1785	FACULDADE DE COLIDER	FACIDER	1185	SISTEMA EDUCACIONAL INTEGRADO - CENTRO DE ESTUDOS UNIVERSITARIOS DE COLIDER	5	3	5103205	Colíder	MT	Centro-Oeste	29	156	7800	3028865.00	0.00	0.00	832180.00	352000.00	288650.00	1375560.00	43000.00	12000.00	28900.00
1786	INSTITUTO MACHADENSE DE ENSINO SUPERIOR	IMES	1186	FUNDACAO MACHADENSE DE COMUNICACAO	5	3	3139003	Machado	MG	Sudeste	31	33	371	5886976.00	0.00	176798.96	987198.06	1222001.27	603770.79	857657.26	176436.74	35982.70	186069.80
1788	FACULDADE DE ADMINISTRAÇÃO E ARTES DE LIMEIRA	FAAL	1188	PHD EDUCACIONAL LTDA - ME	4	3	3526902	Limeira	SP	Sudeste	25	88	0	5315663.79	0.00	171.53	1410254.40	604394.71	436635.88	0.00	0.00	0.00	3126781.50
1789	FACULDADE CATUAÍ	ICES	1189	AEC - ASSOCIACAO DE ENSINO DE CAMBE	5	3	4103701	Cambé	PR	Sul	22	31	3	3791218.00	0.00	0.00	1679698.00	504655.00	418034.00	0.00	0.00	0.00	1034075.00
1927	FACULDADES INTEGRADAS DO VALE DO IGUAÇU		1191	UNIDADE DE ENSINO SUPERIOR VALE DO IGUACU S.A.	4	3	4128203	União da Vitória	PR	Sul	91	316	0	38715620.54	0.00	545114.77	7648480.06	2646552.14	3878309.51	9574642.15	0.00	0.00	3799647.18
1797	FACULDADE NORTE PARANAENSE	UNINORTE	1192	UNIAO NORTE PARANAENSE DE ENSINO S/S LTDA - UNINORTE - EPP	4	3	4113700	Londrina	PR	Sul	7	10	590	766304.27	0.00	324308.25	433179.46	146280.64	176560.77	0.00	58676.97	0.00	275914.68
1798	FACULDADE EDUCACIONAL DE CORNÉLIO PROCÓPIO	FACED	1193	SOCIEDADE DE ENSINO E PESQUISA DE CORNELIO PROCOPIO S/S LTDA - EPP	4	3	4106407	Cornélio Procópio	PR	Sul	11	20	0	422207.63	0.00	0.00	165173.85	73167.08	85702.70	84740.95	0.00	0.00	0.00
1800	FACULDADE DE REALEZA	CESREAL	1194	CENTRO DE ENSINO SUPERIOR DE REALEZA ( CESREAL )	5	3	4121406	Realeza	PR	Sul	16	50	50	1244464.31	0.00	850.99	191567.42	339237.17	441721.54	335349.82	0.00	0.00	0.00
1801	FACULDADE DOM BOSCO DE UBIRATÃ	DOM BOSCO UBIRATÃ	1195	FUNDACAO CULTURAL XINGU	5	3	4128005	Ubiratã	PR	Sul	5	0	0	557190.57	0.00	0.00	315834.48	19691.11	0.00	115338.48	0.00	0.00	707297.09
2831	FACULDADE DOM BOSCO DE GOIOERÊ	DOM BOSCO GOIOERÊ	1195	FUNDACAO CULTURAL XINGU	5	3	4108601	Goioerê	PR	Sul	5	20	30	641278.66	0.00	0.00	306427.15	15190.30	0.00	115338.48	0.00	0.00	42307.31
1803	FACULDADE DE TECNOLOGIA E CIÊNCIAS DE PERNAMBUCO	FATEC	1196	FUNDACAO UNIVERSITARIA DE JABOATAO DOS GUARARAPES	5	3	2611606	Recife	PE	Nordeste	8	20	20	420420.00	0.00	0.00	141290.00	96984.00	19396.80	93200.00	22400.00	12000.00	30860.00
1804	FACULDADE DE MAUÁ - FAMA	FAMA	1197	INSTITUTO EDUCACIONAL IRINEU EVANGELISTA DE SOUZA - BARAO DE MAUA	5	3	3529401	Mauá	SP	Sudeste	52	657	9500	22842258.99	0.00	1153.53	2163657.90	1442438.60	1892806.08	279539.10	0.00	0.00	601151.35
1805	FACULDADE DOS GUARARAPES	FG	1198	SOCEC- SOCIEDADE CAPIBARIBE DE EDUCACAO E CULTURA LTDA	4	2	2607901	Jaboatão dos Guararapes	PE	Nordeste	265	8269	6500	74764640.72	0.00	811747.98	14150161.48	9691869.47	10430491.13	11952097.23	0.00	0.00	25022876.15
14002	Faculdade dos Guararapes de Recife	FG	1198	SOCEC- SOCIEDADE CAPIBARIBE DE EDUCACAO E CULTURA LTDA	4	3	2611606	Recife	PE	Nordeste	18	1525	6500	74764640.72	0.00	811747.98	14150161.48	9691869.47	10430491.13	11952097.23	0.00	0.00	25022876.15
1806	FACULDADE FERNÃO DIAS	FAFE	1199	FACULDADE ANTONIO AGU LTDA	4	3	3534401	Osasco	SP	Sudeste	6	0	0	1660841.11	0.00	0.00	903555.93	175292.43	431175.79	53178.59	0.00	0.00	21323.92
1815	FACULDADE DO INSTITUTO BRASIL	FIBRA	1201	INSTITUTO BRASIL DE CIENCIA & TECNOLOGIA LTDA	4	3	5201108	Anápolis	GO	Centro-Oeste	28	33	0	5648390.02	0.00	258019.26	2378770.97	495876.72	1086411.22	820170.69	415424.10	0.00	598441.51
1816	INSTITUTO DE ENSINO SUPERIOR DE BAURU	IESB	1202	IESB - INSTITUTO DE ENSINO SUPERIOR DE BAURU LIMITADA	4	3	3506003	Bauru	SP	Sudeste	21	500	8500	8991406.75	0.00	39.08	1490266.67	993511.11	1230448.81	71885.43	0.00	0.00	357395.09
1818	FACULDADE PITÁGORAS DE BELO HORIZONTE	FPAS	1204	PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA	4	3	3106200	Belo Horizonte	MG	Sudeste	187	24951	7250	565841796.46	0.00	32388307.26	63015870.70	11431169.18	48469025.21	90213110.64	25935163.74	0.00	64221851.41
11750	FACULDADE ANHANGUERA PITÁGORAS VOTORANTIM	-	1204	PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA	4	3	3557006	Votorantim	SP	Sudeste	26	24951	7250	565841796.46	0.00	32388307.26	63015870.70	11431169.18	48469025.21	90213110.64	25935163.74	0.00	64221851.41
11751	Faculdade Pitágoras de Tecnologia de Betim	PIT Betim	1204	PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA	4	3	3106705	Betim	MG	Sudeste	75	24951	7250	565841796.46	0.00	32388307.26	63015870.70	11431169.18	48469025.21	90213110.64	25935163.74	0.00	64221851.41
5066	FACULDADE PITÁGORAS DE TECNOLOGIA DE CONTAGEM		1204	PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA	4	3	3118601	Contagem	MG	Sudeste	23	24951	7250	565841796.46	0.00	32388307.26	63015870.70	11431169.18	48469025.21	90213110.64	25935163.74	0.00	64221851.41
4863	FACULDADE PITÁGORAS DE POÇOS DE CALDAS		1204	PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA	4	3	3151800	Poços de Caldas	MG	Sudeste	42	24951	7250	565841796.46	0.00	32388307.26	63015870.70	11431169.18	48469025.21	90213110.64	25935163.74	0.00	64221851.41
4865	FACULDADE PITÁGORAS DE SÃO LUIZ		1204	PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA	4	3	2111300	São Luís	MA	Nordeste	148	24951	7250	565841796.46	0.00	32388307.26	63015870.70	11431169.18	48469025.21	90213110.64	25935163.74	0.00	64221851.41
13743	FACULDADE PITÁGORAS DE GOVERNADOR VALADARES	PIT GV	1204	PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA	4	3	3127701	Governador Valadares	MG	Sudeste	36	24951	7250	565841796.46	0.00	32388307.26	63015870.70	11431169.18	48469025.21	90213110.64	25935163.74	0.00	64221851.41
13684	FACULDADE PITÁGORAS DE CONTAGEM	PIT Contagem	1204	PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA	4	3	3118601	Contagem	MG	Sudeste	23	24951	7250	565841796.46	0.00	32388307.26	63015870.70	11431169.18	48469025.21	90213110.64	25935163.74	0.00	64221851.41
2271	FACULDADE PITÁGORAS DE IPATINGA	FPI	1204	PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA	4	3	3131307	Ipatinga	MG	Sudeste	85	24951	7250	565841796.46	0.00	32388307.26	63015870.70	11431169.18	48469025.21	90213110.64	25935163.74	0.00	64221851.41
4867	FACULDADE PITÁGORAS DE GUARAPARI		1204	PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA	4	3	3202405	Guarapari	ES	Sudeste	64	24951	7250	565841796.46	0.00	32388307.26	63015870.70	11431169.18	48469025.21	90213110.64	25935163.74	0.00	64221851.41
4362	FACULDADE PITÁGORAS DE BETIM	PITÁGORAS-BETIM	1204	PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA	4	3	3106705	Betim	MG	Sudeste	76	24951	7250	565841796.46	0.00	32388307.26	63015870.70	11431169.18	48469025.21	90213110.64	25935163.74	0.00	64221851.41
14429	FACULDADE PITÁGORAS DE MACEIÓ		1204	PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA	4	3	2704302	Maceió	AL	Nordeste	24	24951	7250	565841796.46	0.00	32388307.26	63015870.70	11431169.18	48469025.21	90213110.64	25935163.74	0.00	64221851.41
1819	FACULDADE FARIAS BRITO	FFB	1205	ORGANIZACAO EDUCACIONAL FARIAS BRITO LTDA	4	3	2304400	Fortaleza	CE	Nordeste	58	0	0	24253394.56	0.00	675982.61	4567429.55	1602578.82	4260735.29	4042774.89	1817963.60	0.00	1137105.52
1821	FACULDADE LIONS	FAC-LIONS	1206	FUNDACAO EDUCACIONAL DE GOIAS	5	3	5208707	Goiânia	GO	Centro-Oeste	50	7803	0	7055786.74	0.00	697825.00	2732112.60	1229450.67	591957.73	2939896.79	0.00	866744.45	0.00
1822	FACULDADE SUL-AMERICANA	FASAM	1207	UNIAO SUL-AMERICANA DE EDUCACAO LTDA	4	3	5208707	Goiânia	GO	Centro-Oeste	54	51	0	15636869.12	0.00	0.00	3382285.39	1601389.88	2367550.08	0.00	0.00	0.00	0.00
1823	INSTITUTO DE ENSINO SUPERIOR DO AMAPÁ	IESAP	1208	MODERNO-CENTRO DE ENSINO, EDUCACAO E CULTURA LTDA	4	3	1600303	Macapá	AP	Norte	30	0	0	649914.00	1949742.00	19271.76	652878.24	84000.00	229802.17	510034.72	0.00	0.00	940644.96
17348	Faculdade de Tecnologia dos Inconfidentes	FATEC	1209	ASSOCIACAO DE ENSINO SUPERIOR DOS INCONFIDENTES - ASESI	5	3	3131901	Itabirito	MG	Sudeste	13	14000	7000	585080.06	0.00	568393.52	114349.83	170621.24	113988.39	495612.14	178103.42	0.00	0.00
