CO_IES	NO_IES	SGL_IES	CO_MANTENEDORA	NO_MANTENEDORA	CO_CATEGORIA_ADMINISTRATIVA	CO_ORGANIZACAO_ACADEMICA	CO_MUNICIPIO_IES	NO_MUNICIPIO_IES	SGL_UF_IES	NO_REGIAO_IES	QT_TEC_TOTAL	QT_PERIODICO_ELETRONICO	QT_LIVRO_ELETRONICO	VL_RECEITA_PROPRIA	VL_TRANSFERENCIA	VL_OUTRA_RECEITA	VL_DES_PESSOAL_REM_DOCENTE	VL_DES_PESSOAL_REM_TECNICO	VL_DES_PESSOAL_ENCARGO	VL_DES_CUSTEIO	VL_DES_INVESTIMENTO	VL_DES_PESQUISA	VL_DES_OUTRAS
1464	HSM Escola Superior de Administração	HSM	15225	HSM EDUCACAO S.A.	4	3	3550308	São Paulo	SP	Sudeste	9	5	2	299361.00	0.00	586951.00	78126.19	97886.42	4492.00	0.00	493951.34	54463.00	157393.05
1653	FACULDADE DE CIÊNCIA E EDUCAÇÃO DO CAPARAÓ	FACEC	15297	SOCIEDADE EDUCACIONAL SUPERIOR LTDA	5	3	3202306	Guaçuí	ES	Sudeste	4	1249	0	892882.50	0.00	30075.00	205856.00	125890.00	143760.00	105000.00	88900.00	35670.00	98534.00
16194	Faculdade Gran Tietê	FGT	15328	IERT- INSTITUICOES DE ENSINO REUNIDAS TIETE LTDA	4	3	3505302	Barra Bonita	SP	Sudeste	12	16	1	1461775.80	0.00	46516.23	146935.43	91108.15	73964.08	167029.89	0.00	0.00	364283.06
17662	Faculdade Galileu	FG	15328	IERT- INSTITUICOES DE ENSINO REUNIDAS TIETE LTDA	4	3	3507506	Botucatu	SP	Sudeste	6	0	1	257960.44	0.00	8208.75	25929.78	16077.91	13052.49	29475.86	0.00	0.00	64285.25
583	UNIVERSIDADE FEDERAL DO CEARÁ	UFC	15439	UNIVERSIDADE FEDERAL DO CEARA	1	1	2304400	Fortaleza	CE	Nordeste	3471	0	8500	5265668.77	1283827699.57	1840223.08	346965609.33	316338208.26	161722707.17	201149564.42	33041027.49	0.00	0.00
2770	FACULDADE UNIDA DE CAMPINAS	FACUNICAMPS	15445	DINAMICA ASSESSORIA E GESTAO EMPRESARIAL LTDA - ME	4	3	5208707	Goiânia	GO	Centro-Oeste	14	0	0	14638515.23	0.00	125658.90	1690013.10	881325.64	1525630.20	451257.58	635258.67	150963.35	1191304.47
597	UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO	UFTM	15446	UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO	1	1	3170107	Uberaba	MG	Sudeste	1441	10	128	819747.35	4229978.67	0.00	67519216.33	78555029.42	35584602.90	41241314.44	8484863.93	1684158.45	0.00
16502	FACULDADE PESTALOZZI DE FRANCA	FPF	15452	FUNDACAO EDUCANDARIO PESTALOZZI	5	3	3516200	Franca	SP	Sudeste	6	0	0	348432.00	0.00	12446.00	93687.73	98490.45	25530.35	0.00	0.00	0.00	0.00
2133	Faculdade de Ciências, Educação e Teologia do Norte do Brasil	FACETEN	15456	INSTITUTO SUPERIOR DE EDUCACAO FACETEN LTDA - ISEF - ME	5	3	1400100	Boa Vista	RR	Norte	11	0	0	821722.00	76327.92	38412.17	176465.00	231895.00	65336.00	96000.00	210000.00	0.00	107000.00
16525	FACULDADE DUARTE COELHO	FDC	15463	SEDESPE - SOCIEDADE EDUCACIONAL DE DESENVOLVIMENTO REGIONAL DE PERNAMBUCO LTDA. - ME	4	3	2614501	Surubim	PE	Nordeste	5	0	0	166754.76	0.00	27174.00	91738.53	44068.01	1893.53	0.00	0.00	0.00	52112.00
16543	Faculdade Metropolitana do Estado de São Paulo	FAMEESP	15474	METROPOLITAN EDUCACAO LTDA.	4	3	3543402	Ribeirão Preto	SP	Sudeste	10	43	8000	479701.20	0.00	0.00	98882.52	61398.24	38673.85	216406.00	29056.29	20000.00	10000.00
3849	FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS	UFT	15498	FUNDACAO UNIVERSIDADE FEDERAL DO TOCANTINS	1	1	1721000	Palmas	TO	Norte	853	0	0	5460080.08	322733494.90	0.00	130207828.00	61775806.56	4218564.00	94190385.00	56075754.00	649608.00	0.00
569	UNIVERSIDADE FEDERAL DO PARÁ	UFPA	15509	UNIVERSIDADE FEDERAL DO PARA	1	1	1501402	Belém	PA	Norte	2801	0	0	15832265.69	4992757.23	1817063.23	357639090.86	218049998.38	165361633.86	1368909845.62	488974750.44	665250432.61	6837019280.12
575	UNIVERSIDADE FEDERAL DE MINAS GERAIS	UFMG	15515	UNIVERSIDADE FEDERAL DE MINAS GERAIS	1	1	3106200	Belo Horizonte	MG	Sudeste	4366	317	60	37200802.42	2169224947.64	3818784.70	328843176.06	509878090.50	221752313.00	451408339.57	33541074.89	5378179.45	735477417.26
1578	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE	IFSul	15520	INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA SUL-RIO-GRANDENSE - RS	1	4	4314407	Pelotas	RS	Sul	790	14	3310	732477.39	423086399.68	0.00	58346871.62	34431649.44	197994421.89	61229497.85	2324857.43	1732695.36	0.00
3160	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS	IFAL	15532	INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE ALAGOAS - IF/AL	1	4	2704302	Maceió	AL	Nordeste	643	37000	40500	4160499.00	289714702.00	0.00	105890393.00	70593595.00	46805873.00	53282995.00	14727607.00	2574739.00	0.00
16759	Faculdade do Bico do Papagaio	FABIC	15533	FACULDADE DE CIENCIAS MEDICAS E JURIDICAS - FACMED	5	3	1702554	Augustinópolis	TO	Norte	22	0	0	1790140.84	0.00	0.00	877509.98	371053.43	552473.76	0.00	0.00	0.00	663633.40
586	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	UFRJ	15536	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	1	1	3304557	Rio de Janeiro	RJ	Sudeste	9445	38000	29151	58352584.60	3528037805.11	193622262.74	756530278.52	991397839.49	435023862.72	748050526.95	58212456.24	7591101.23	783206587.30
580	UNIVERSIDADE FEDERAL DE PERNAMBUCO	UFPE	15538	UNIVERSIDADE FEDERAL DE PERNAMBUCO	1	1	2611606	Recife	PE	Nordeste	5301	0	107	22686000.00	1680953000.00	0.00	1313008000.00	0.00	201179000.00	139663000.00	49789000.00	0.00	0.00
16782	Faculdade Mário Quintana	FAMAQUI	15541	CONSULTORIA EDUCACIONAL E EMPRESARIAL MARIO QUINTANA LTDA - ME	4	3	4314902	Porto Alegre	RS	Sul	8	48	7000	320000.00	0.00	0.00	42250.00	58500.00	30225.00	61558.00	100000.00	10000.00	8593.00
16864	Faculdade Cultura Inglesa	FCI	15557	ASSOCIACAO CULTURA INGLESA - SAO PAULO	5	3	3550308	São Paulo	SP	Sudeste	4	104	113	1059695.09	0.00	6818.96	633189.25	453842.33	810453.09	1014468.49	0.00	0.00	136600.34
16879	Faculdade de Medicina de Olinda	FMO	15559	BARROS MELO ENSINO SUPERIOR LTDA	4	3	2609600	Olinda	PE	Nordeste	29	25	485	15476592.71	0.00	37199.47	2010265.34	733385.24	1035508.95	448926.26	292680.95	53181.87	25716.71
16898	FACULDADE DE EDUCAÇÃO E TECNOLOGIA DA AMAZÔNIA	FAM	15561	FEAM - FACULDADE DE EDUCACAO E TECNOLOGIA DA AMAZONIA LTDA - ME	4	3	1500107	Abaetetuba	PA	Norte	15	0	0	1476090.00	0.00	336000.00	340470.00	298940.00	139208.00	455687.00	0.00	35150.00	89625.40
17622	FACULDADE JOAQUIM NABUCO DE FORTALEZA	FJN FORTALEZA	15562	SOCIEDADE UNIVERSITARIA MILETO LTDA - EPP	4	3	2304400	Fortaleza	CE	Nordeste	19	0	0	3737038666.70	0.00	4874903.51	66290931.94	37470305.83	65256363.34	20158575.64	6926334.87	0.00	180192722.57
16943	FACULDADE MAURÍCIO DE NASSAU DE PARNAMIRIM	FMN PARNAMIRIM	15562	SOCIEDADE UNIVERSITARIA MILETO LTDA - EPP	4	3	2403251	Parnamirim	RN	Nordeste	35	35	101	1703500000.00	0.00	1780000.00	12600000.00	13420000.00	12870000.00	118100000.00	0.00	0.00	7790000.00
16901	INSTITUTO EDUCATIE	EDUCATIE	15563	INSTITUTO EDUCATIEHOOG DE ENSINO E PESQUISA LIMITADA	4	3	3550308	São Paulo	SP	Sudeste	7	0	0	545447.00	0.00	22550.00	267266.00	76329.00	114191.00	34703.00	21211.00	10000.00	0.00
16918	FACULDADE CATÓLICA DE FEIRA DE SANTANA		15569	ARQUIDIOCESE DE FEIRA DE SANTANA	5	3	2910800	Feira de Santana	BA	Nordeste	10	44	0	695113.89	0.00	0.00	227352.66	102087.62	0.00	239381.33	0.00	0.00	0.00
1394	FACULDADE CASTRO ALVES	FCA	15571	CENTRO UNIVERSITARIO DA BAHIA LTDA	4	3	2927408	Salvador	BA	Nordeste	11	325	0	9093513.00	0.00	0.00	2155191.00	959286.00	1274307.00	816597.00	1100000.00	211100.00	1504976.00
1893	Faculdade Regional da Bahia	FARB/UNIRB	15571	CENTRO UNIVERSITARIO DA BAHIA LTDA	4	3	2910800	Feira de Santana	BA	Nordeste	24	312	0	9093513.00	0.00	0.00	2155191.00	959286.00	1274307.00	816597.00	1100000.00	211100.00	1504976.00
